DSP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,sun [h],air temp,wind strength,precipitation,Chl-a,salinity,T,SECCHI,DIN,PO4-P,Soca,month,lipophylic_toxins
30.0,5.0,0.0,10.0,15.0,0.0,256.20000000000005,20.023809523809526,3.0476190476190474,14.5,1.08,35.12,17.72,4.0,1.220000021159648,0.0799999982118607,3654.382,6,?
3292.0,208.0,0.0,0.0,2876.0,0.0,256.20000000000005,20.023809523809526,3.0476190476190474,14.5,2.03,35.41,16.25,4.0,2.339999973773957,0.100000001490116,3654.382,6,?
62.0,4.0,0.0,0.0,58.0,0.0,193.6,20.776190476190475,3.1000000000000005,73.7,0.4,37.1,20.94,?,1.8900000546127567,0.0199999995529652,3004.8070000000007,6,?
33.0,4.0,0.0,4.0,25.0,0.0,193.6,20.776190476190475,3.1000000000000005,73.7,0.41,37.22,19.74,?,1.8899999950081134,0.0799999982118607,3004.8070000000007,6,?
65.0,12.0,0.0,0.0,53.0,0.0,139.3,19.53333333333333,3.338095238095238,119.2,0.4,37.1,20.94,?,1.8900000546127567,0.0199999995529652,5206.424000000001,7,?
36.0,0.0,0.0,12.0,24.0,0.0,139.3,19.53333333333333,3.338095238095238,119.2,0.41,37.22,19.74,?,1.8899999950081134,0.0799999982118607,5206.424000000001,7,?
24.0,20.0,0.0,4.0,0.0,0.0,227.29999999999998,20.428571428571423,2.7238095238095235,30.700000000000003,?,?,?,?,?,?,5188.804000000001,7,?
6.0,0.0,6.0,0.0,0.0,0.0,227.29999999999998,20.428571428571423,2.7238095238095235,30.700000000000003,?,?,?,?,?,?,5188.804000000001,7,?
47.0,43.0,4.0,0.0,0.0,0.0,234.79999999999998,21.719047619047622,2.8857142857142857,13.1,0.09,37.25,22.59,7.5,0.9199999943375582,0.0900000035762787,2421.1840000000007,8,?
13.0,13.0,0.0,0.0,0.0,0.0,234.79999999999998,21.719047619047622,2.8857142857142857,13.1,0.45,37.01,21.82,15.0,1.0199999883770943,0.0599999986588955,2421.1840000000007,8,?
6.0,6.0,0.0,0.0,0.0,0.0,188.79999999999998,20.538095238095234,2.9476190476190474,21.0,?,?,?,?,?,?,1472.6110000000003,9,poz
140.0,131.0,3.0,3.0,0.0,0.0,188.79999999999998,20.538095238095234,2.9476190476190474,21.0,?,?,?,?,?,?,1472.6110000000003,9,poz
228.0,0.0,222.0,6.0,0.0,0.0,103.40000000000002,14.77142857142857,2.704761904761905,219.9,?,37.53,21.68,?,4.469999894499782,0.170000001788139,1852.896,9,poz
