index,month,DSP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,sun [h],air temp,wind strength,precipitation,salinity,T,Soca
1378,10,90.0,0.0,20.0,40.0,0.0,30.0,128.9,13.552380952380954,3.0619047619047626,58.400000000000006,37.89,19.68,1888.469
1392,2,20.0,0.0,0.0,20.0,0.0,0.0,64.5,5.628571428571429,2.5761904761904764,83.4,37.92,10.98,3759.0909999999994
487,7,40.0,20.0,0.0,20.0,0.0,0.0,239.3,22.576190476190476,2.8095238095238098,4.1,37.48,21.81,2134.0640000000003
1340,5,60.0,0.0,0.0,20.0,10.0,10.0,227.2,19.46666666666667,3.0095238095238095,6.199999999999999,36.46,16.04,3788.943
822,5,60.0,10.0,0.0,50.0,0.0,0.0,123.80000000000001,16.123809523809523,2.6619047619047627,55.9,36.77,11.42,5463.947999999999
1156,9,60.0,0.0,40.0,10.0,10.0,0.0,135.2,19.109523809523814,2.6285714285714286,88.6,33.08,23.91,4633.203
1289,8,60.0,10.0,0.0,40.0,10.0,0.0,236.30000000000007,23.395238095238096,2.904761904761905,10.0,36.76,25.24,1339.1740000000002
1398,4,0.0,0.0,0.0,0.0,0.0,0.0,131.6,9.385714285714286,3.4380952380952374,23.3,36.65,9.92,6725.731
336,4,5.0,0.0,0.0,4.6,0.0,0.0,147.5,10.495238095238097,2.7095238095238097,100.00000000000001,37.48,12.52,1573.2220000000002
1130,6,40.0,0.0,10.0,10.0,20.0,0.0,232.99999999999997,19.204761904761906,2.6857142857142855,51.9,36.67,15.52,3146.500999999999
1116,4,10.0,0.0,0.0,0.0,0.0,0.0,160.5,10.49047619047619,3.157142857142856,34.1,37.49,12.83,4328.699
1491,8,20.0,0.0,0.0,0.0,20.0,0.0,236.4,23.990476190476194,3.1619047619047613,28.1,37.08,27.14,1255.9470000000001
1418,7,30.0,0.0,0.0,20.0,10.0,0.0,191.2,23.1,2.6047619047619044,25.599999999999998,37.06,23.19,1652.5659999999998
301,8,1410.0,676.0,371.0,87.0,160.0,0.0,244.00000000000006,24.533333333333335,3.3523809523809525,2.4,35.3,25.66,1763.9450000000004
425,6,8.0,0.0,0.0,4.0,4.0,0.0,233.39999999999998,25.06666666666667,2.661904761904762,6.9,37.69,22.86,839.3169999999999
961,2,20.0,0.0,0.0,10.0,0.0,10.0,95.19999999999999,-0.823809523809524,5.257142857142857,0.0,37.9,10.05,933.7109999999999
1219,7,60.0,0.0,20.0,20.0,10.0,0.0,251.60000000000005,26.376190476190477,2.9571428571428573,35.3,35.67,27.01,1485.2160000000001
904,5,10.0,0.0,0.0,10.0,0.0,0.0,235.1,19.09047619047619,3.0285714285714285,61.50000000000001,36.92,15.86,1870.666
1558,9,70.0,0.0,50.0,20.0,0.0,0.0,208.90000000000003,21.685714285714283,3.1095238095238096,46.7,36.0800018310547,25.9699993133545,2045.0169999999996
1470,5,50.0,0.0,0.0,0.0,40.0,0.0,102.0,13.166666666666666,3.5238095238095246,118.39999999999999,37.92,12.33,3998.0529999999994
1520,1,10.0,0.0,0.0,10.0,0.0,0.0,124.79999999999998,4.609523809523809,2.6476190476190475,0.0,38.03,14.3,6052.718999999999
1279,6,130.0,10.0,0.0,30.0,90.0,0.0,136.60000000000002,20.219047619047622,2.4380952380952374,109.09999999999998,34.97,23.03,6643.1050000000005
1326,2,0.0,0.0,0.0,0.0,0.0,0.0,71.2,5.5095238095238095,2.5142857142857142,109.60000000000001,38.38,9.53,4527.7210000000005
1081,9,70.0,10.0,30.0,10.0,10.0,0.0,216.59999999999997,21.09047619047619,3.5952380952380953,53.1,36.74,22.93,972.005
342,5,0.0,0.0,0.0,0.0,0.0,0.0,177.79999999999998,14.585714285714285,2.8285714285714287,53.2,37.48,12.52,2311.119999999999
560,8,30.0,20.0,0.0,0.0,10.0,0.0,228.90000000000003,25.671428571428567,3.147619047619048,24.0,37.9,24.87,825.139
535,10,20.0,0.0,20.0,0.0,0.0,0.0,115.0,14.63809523809524,2.223809523809524,103.4,36.97,23.83,3825.681
881,1,10.0,0.0,0.0,10.0,0.0,0.0,29.700000000000003,4.942857142857143,1.4761904761904763,11.200000000000001,37.01,10.03,7389.532
1031,1,10.0,0.0,0.0,10.0,0.0,0.0,42.900000000000006,6.004761904761905,2.7857142857142856,74.19999999999999,37.5800018310547,11.3299999237061,3222.5070000000005
879,12,10.0,0.0,0.0,0.0,0.0,0.0,42.99999999999999,6.8428571428571425,2.2333333333333334,158.79999999999998,30.2,14.26,10683.316
608,5,10.0,0.0,0.0,0.0,10.0,0.0,197.09999999999997,16.495238095238093,3.0999999999999996,23.3,37.44,15.55,1548.226
1607,6,20.0,0.0,0.0,10.0,0.0,0.0,231.6,19.48095238095238,2.738095238095238,39.0,35.8499984741211,17.9799995422363,7191.643000000002
1487,8,10.0,10.0,0.0,0.0,0.0,0.0,228.89999999999998,23.942857142857143,3.1238095238095234,40.5,37.4799995422363,23.6700000762939,1251.6920000000002
291,6,260.0,115.99999999999999,0.0,36.0,80.0,0.0,199.70000000000002,19.209523809523812,2.9809523809523806,115.5,36.39,18.52,2685.9190000000003
195,8,11.0,11.0,0.0,0.0,0.0,0.0,218.50000000000003,23.804761904761907,3.223809523809524,18.9,37.41,22.99,970.561
1040,4,0.0,0.0,0.0,0.0,0.0,0.0,72.3,7.147619047619049,3.3666666666666667,131.5,36.8600006103516,10.4499998092651,8576.934
1310,11,0.0,0.0,0.0,0.0,0.0,0.0,99.60000000000001,12.41904761904762,2.5619047619047617,80.5,37.61,19.27,6326.246
816,4,0.0,0.0,0.0,0.0,0.0,0.0,135.6,11.233333333333334,3.6714285714285713,40.6,37.36,8.61,3619.056
1533,5,10.0,0.0,0.0,10.0,0.0,0.0,174.89999999999998,16.242857142857144,3.2238095238095235,17.5,37.9300003051758,13.5500001907349,2390.348
557,7,50.0,0.0,0.0,20.0,10.0,0.0,241.39999999999998,24.74761904761905,2.8380952380952382,3.5999999999999996,37.9,24.87,934.5789999999998
975,5,10.0,0.0,0.0,10.0,0.0,0.0,205.1,16.442857142857143,3.0714285714285716,92.6,38.17,12.99,3217.882000000001
799,11,10.0,10.0,0.0,0.0,0.0,0.0,87.49999999999999,10.166666666666668,2.9714285714285715,130.60000000000002,36.45,21.03,2851.177
1160,9,120.0,10.0,0.0,0.0,10.0,50.0,135.79999999999998,16.904761904761905,2.804761904761905,174.29999999999998,36.1599998474121,22.3099994659424,3983.776
769,8,40.0,40.0,0.0,0.0,0.0,0.0,249.0,24.280952380952378,3.0047619047619043,14.4,35.38,25.92,1394.6009999999999
1564,10,80.0,0.0,20.0,50.0,0.0,0.0,127.4,18.042857142857144,3.59047619047619,167.10000000000002,37.8300018310547,23.6800003051758,4750.194
11,7,26.0,2.0,2.0,20.0,2.0,0.0,232.29999999999998,24.952380952380953,3.0952380952380953,8.3,36.17,26.88,1665.0630000000003
1271,5,20.0,0.0,0.0,10.0,10.0,0.0,161.50000000000003,14.952380952380953,2.776190476190476,74.10000000000001,37.49,15.14,4222.006
1041,4,10.0,0.0,0.0,0.0,0.0,0.0,72.3,7.147619047619049,3.3666666666666667,131.5,37.32,10.43,8576.934
1410,6,20.0,0.0,0.0,0.0,10.0,0.0,203.3,20.75714285714286,2.295238095238095,11.1,36.99,20.56,3254.5340000000006
595,10,10.0,0.0,10.0,0.0,0.0,0.0,132.3,14.666666666666664,2.9095238095238094,22.1,37.5200004577637,21.2099990844727,2135.272
1048,5,0.0,0.0,0.0,0.0,0.0,0.0,142.70000000000002,16.48095238095238,2.8333333333333335,14.0,32.88,15.08,5666.675000000002
1067,7,90.0,0.0,0.0,60.0,0.0,0.0,228.60000000000005,22.8,3.1666666666666665,0.6,31.91,26.13,1766.9870000000003
1020,11,10.0,0.0,10.0,0.0,0.0,0.0,88.9,11.795238095238094,4.090476190476191,102.2,37.44,16.37,11686.263000000003
575,9,50.0,40.0,0.0,0.0,10.0,0.0,191.8,20.238095238095237,2.8571428571428577,145.6,37.12,23.06,1541.1629999999998
1239,11,170.0,10.0,150.0,0.0,0.0,0.0,143.3,11.49047619047619,2.9952380952380957,79.0,36.7,19.73,5233.126999999999
1121,4,40.0,0.0,0.0,30.0,0.0,0.0,109.39999999999998,13.857142857142858,2.1238095238095234,104.19999999999999,35.9000015258789,15.75,2888.477
413,5,20.0,0.0,0.0,0.0,20.4,0.0,202.5,17.35714285714286,2.7571428571428576,0.3,37.44,17.45,1405.8129999999999
514,6,60.0,20.0,0.0,0.0,40.0,0.0,229.20000000000002,21.204761904761906,2.7142857142857144,22.4,38.0499992370605,19.7399997711182,1047.0199999999998
1498,9,460.0,20.0,330.0,0.0,0.0,110.0,187.50000000000003,21.047619047619047,3.104761904761905,72.60000000000001,37.67,26.15,1173.935
529,9,30.0,30.0,0.0,0.0,0.0,0.0,182.10000000000005,20.514285714285716,2.4523809523809526,48.70000000000001,37.63,23.34,2012.054
1357,8,250.0,70.0,160.0,0.0,10.0,0.0,240.19999999999993,25.114285714285714,3.0857142857142854,20.0,36.16,23.78,1294.52
1641,11,180.0,0.0,130.0,20.0,0.0,0.0,136.4,11.542857142857143,3.0904761904761906,17.6,37.8600006103516,17.4099998474121,1906.5599999999997
1523,2,0.0,0.0,0.0,0.0,0.0,0.0,89.60000000000001,7.176190476190477,2.380952380952381,11.600000000000001,37.9900016784668,11.8000001907349,1752.2869999999998
1344,6,110.0,0.0,0.0,0.0,70.0,0.0,248.20000000000002,20.923809523809524,3.1952380952380954,3.5999999999999996,36.83,16.0,3195.047
1579,11,10.0,0.0,0.0,10.0,0.0,0.0,118.6,8.947619047619046,3.147619047619048,41.9,36.8899993896484,16.7099990844727,2243.638
1128,5,80.0,0.0,0.0,20.0,60.0,0.0,182.39999999999995,16.72857142857143,2.7428571428571424,43.2,36.39,16.05,3153.3350000000005
1538,6,60.0,10.0,0.0,20.0,30.0,0.0,172.49999999999994,19.36190476190476,2.9,190.6,36.0200004577637,18.4300003051758,5469.6410000000005
742,4,0.0,0.0,0.0,0.0,0.0,0.0,154.59999999999997,13.304761904761904,3.3285714285714287,92.29999999999998,37.21,10.29,8335.838999999998
453,10,24.0,4.0,4.0,12.0,0.0,0.0,118.0,14.333333333333334,2.8476190476190473,34.300000000000004,38.24,18.0,1628.761
1231,10,290.0,0.0,250.0,20.0,0.0,0.0,103.39999999999999,18.866666666666667,3.3619047619047615,74.79999999999998,37.32,19.11,4137.801
944,10,200.0,20.0,50.0,20.0,0.0,70.0,130.0,11.614285714285714,3.776190476190476,132.2,35.9500007629395,22.3799991607666,4003.9760000000006
1043,4,10.0,0.0,0.0,0.0,10.0,0.0,101.99999999999999,10.923809523809522,2.9857142857142858,114.9,37.5099983215332,10.9300003051758,7210.684
168,5,5.0,0.0,0.0,0.0,5.0,0.0,122.20000000000002,17.104761904761904,2.2523809523809524,36.2,36.84,11.36,4675.560999999999
1021,11,20.0,0.0,0.0,0.0,0.0,10.0,88.9,11.795238095238094,4.090476190476191,102.2,37.5,16.33,11686.263000000003
1163,10,10.0,0.0,0.0,0.0,10.0,0.0,142.50000000000003,16.5,2.9380952380952388,125.39999999999999,36.1599998474121,22.3099994659424,3358.7450000000003
923,8,60.0,30.0,10.0,0.0,10.0,0.0,220.7,22.385714285714283,3.2380952380952372,12.900000000000002,35.2099990844727,24.0499992370605,2444.419
1614,7,40.0,10.0,20.0,0.0,10.0,0.0,253.0,24.80476190476191,2.7142857142857144,42.0,36.0,22.9500007629395,1883.5040000000001
1407,5,40.0,0.0,0.0,20.0,0.0,0.0,171.4,18.233333333333334,2.4333333333333336,52.9,37.59,14.81,4402.441
866,10,100.0,0.0,60.0,10.0,0.0,0.0,126.50000000000001,13.423809523809526,2.8476190476190473,29.900000000000002,35.78,17.73,5786.967000000002
1332,4,20.0,0.0,0.0,10.0,10.0,0.0,194.80000000000004,12.80952380952381,3.1666666666666674,5.2,36.92,9.61,1924.614
1542,6,20.0,0.0,0.0,0.0,20.0,0.0,209.9,21.499999999999996,2.5809523809523807,53.9,33.3199996948242,23.2299995422363,5331.744000000001
1620,8,40.0,20.0,10.0,0.0,0.0,0.0,208.49999999999997,24.81904761904762,2.9,32.1,34.7000007629395,27.1299991607666,1444.711
941,10,130.0,40.0,60.0,30.0,0.0,0.0,184.40000000000003,16.504761904761907,3.947619047619048,32.8,35.77,25.94,1609.9660000000003
605,11,40.0,0.0,20.0,20.0,0.0,0.0,38.800000000000004,11.90952380952381,2.2952380952380955,50.70000000000001,37.5,16.1,2028.1939999999997
1233,10,320.0,10.0,250.0,50.0,0.0,0.0,71.6,15.095238095238098,2.9619047619047625,111.6,36.7,19.73,5693.122
