date,sampling station,sampling depth,sampling method,PSP,DSP,DSP_like,ASP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,lipophylic_toxins
2000-11-23,35,integrated,phytoplankton net,0.0,760.0,30.0,?,28.999999999999996,393.0,262.0,0.0,0.0,neg
2000-12-12,35,integrated,phytoplankton net,1450.0,950.0,0.0,?,7.000000000000001,465.00000000000006,393.0,0.0,0.0,neg
2000-12-12,24,integrated,phytoplankton net,100.0,2870.0,0.0,?,63.0,2341.0,365.0,0.0,0.0,neg
2001-01-17,35,integrated,phytoplankton net,130.0,10.0,0.0,?,7.000000000000001,7.000000000000001,0.0,0.0,0.0,?
2001-01-17,24,integrated,phytoplankton net,110.00000000000001,20.0,0.0,?,0.0,11.0,0.0,0.0,0.0,?
2001-02-13,35,integrated,phytoplankton net,1130.0,70.0,20.0,?,0.0,73.0,0.0,0.0,0.0,?
2001-02-13,24,integrated,phytoplankton net,630.0,100.0,0.0,?,11.0,91.0,0.0,0.0,0.0,?
2001-03-12,35,integrated,phytoplankton net,110.00000000000001,50.0,20.0,?,0.0,0.0,7.000000000000001,0.0,0.0,?
2001-03-12,24,integrated,phytoplankton net,120.0,60.0,0.0,?,0.0,6.0,0.0,0.0,0.0,?
2001-04-18,24,integrated,phytoplankton net,730.0,40.0,0.0,?,0.0,6.0,28.000000000000004,6.0,0.0,?
2001-04-18,35,integrated,phytoplankton net,1180.0,90.0,20.0,?,7.000000000000001,0.0,51.0,15.0,0.0,?
2001-05-08,35,integrated,phytoplankton net,0.0,60.0,70.0,?,0.0,0.0,51.0,0.0,0.0,neg
2001-05-08,24,integrated,phytoplankton net,210.0,40.0,0.0,?,0.0,0.0,28.000000000000004,6.0,0.0,?
2001-05-21,35,integrated,phytoplankton net,0.0,830.0000000000001,0.0,?,115.99999999999999,15.0,87.0,596.0,0.0,neg
2001-05-21,24,integrated,phytoplankton net,30.0,919.9999999999999,0.0,?,74.0,17.0,97.0,701.0,0.0,?
2001-06-05,35,integrated,phytoplankton net,0.0,260.0,0.0,?,115.99999999999999,0.0,36.0,80.0,0.0,neg
2001-06-05,24,integrated,phytoplankton net,10.0,370.0,0.0,?,131.0,11.0,68.0,137.0,0.0,neg
2001-06-19,35,integrated,phytoplankton net,30.0,1430.0,40.0,?,553.0,131.0,102.0,523.0,0.0,neg
2001-06-19,24,integrated,phytoplankton net,20.0,1040.0,10.0,?,234.0,28.000000000000004,46.0,706.0,0.0,neg
2001-07-03,35,integrated,phytoplankton net,0.0,7630.0,50.0,?,545.0,4624.0,153.0,2167.0,0.0,neg
2001-07-03,24,integrated,phytoplankton net,0.0,2150.0,10.0,?,473.00000000000006,860.0,51.0,746.0,0.0,neg
2001-07-17,35,integrated,phytoplankton net,0.0,5760.0,0.0,?,916.0,15.0,174.0,4639.0,0.0,poz
2001-07-17,24,integrated,phytoplankton net,0.0,2150.0,10.0,?,661.0,0.0,23.0,1470.0,0.0,neg
2001-07-31,35,integrated,phytoplankton net,0.0,1920.0,10.0,?,443.0,95.0,44.0,1309.0,0.0,neg
2001-07-31,24,integrated,phytoplankton net,0.0,760.0,0.0,?,273.0,227.99999999999997,40.0,194.0,6.0,neg
2001-08-14,35,integrated,phytoplankton net,40.0,1410.0,70.0,?,676.0,371.0,87.0,160.0,0.0,neg
2001-08-14,24,integrated,phytoplankton net,20.0,1460.0,60.0,?,741.0,382.0,56.99999999999999,234.0,0.0,neg
2001-08-28,35,integrated,phytoplankton net,130.0,960.0,0.0,?,218.00000000000003,109.00000000000001,196.0,109.00000000000001,7.000000000000001,neg
2001-08-28,24,integrated,phytoplankton net,0.0,730.0,0.0,?,131.0,91.0,188.0,68.0,6.0,neg
