station id, station name, valid,trajanje sonca [h]
_1896,PORTOROŽ - LETALIŠČE,1997/02,148.3
_1896,PORTOROŽ - LETALIŠČE,1997/03,247.3
_1896,PORTOROŽ - LETALIŠČE,1997/04,243
_1896,PORTOROŽ - LETALIŠČE,1997/05,289.2
_1896,PORTOROŽ - LETALIŠČE,1997/06,242
_1896,PORTOROŽ - LETALIŠČE,1997/07,320.2
_1896,PORTOROŽ - LETALIŠČE,1997/08,277.5
_1896,PORTOROŽ - LETALIŠČE,1997/09,291.8
_1896,PORTOROŽ - LETALIŠČE,1997/10,169.7
_1896,PORTOROŽ - LETALIŠČE,1997/11,90.3
_1896,PORTOROŽ - LETALIŠČE,1997/12,74.3
_1896,PORTOROŽ - LETALIŠČE,1998/01,70.2
_1896,PORTOROŽ - LETALIŠČE,1998/02,189.9
_1896,PORTOROŽ - LETALIŠČE,1998/03,242.9
_1896,PORTOROŽ - LETALIŠČE,1998/04,177
_1896,PORTOROŽ - LETALIŠČE,1998/05,273.2
_1896,PORTOROŽ - LETALIŠČE,1998/06,305.6
_1896,PORTOROŽ - LETALIŠČE,1998/07,341.7
_1896,PORTOROŽ - LETALIŠČE,1998/08,324.2
_1896,PORTOROŽ - LETALIŠČE,1998/09,192.9
_1896,PORTOROŽ - LETALIŠČE,1998/10,180.5
_1896,PORTOROŽ - LETALIŠČE,1998/11,122.2
_1896,PORTOROŽ - LETALIŠČE,1998/12,118.8
_1896,PORTOROŽ - LETALIŠČE,1999/01,104.2
_1896,PORTOROŽ - LETALIŠČE,1999/02,151
_1896,PORTOROŽ - LETALIŠČE,1999/03,159.7
_1896,PORTOROŽ - LETALIŠČE,1999/04,183.5
_1896,PORTOROŽ - LETALIŠČE,1999/05,230.1
_1896,PORTOROŽ - LETALIŠČE,1999/06,291.6
_1896,PORTOROŽ - LETALIŠČE,1999/07,311.6
_1896,PORTOROŽ - LETALIŠČE,1999/08,265.7
_1896,PORTOROŽ - LETALIŠČE,1999/09,242.2
_1896,PORTOROŽ - LETALIŠČE,1999/10,138.9
_1896,PORTOROŽ - LETALIŠČE,1999/11,107.3
_1896,PORTOROŽ - LETALIŠČE,1999/12,80.2
_1896,PORTOROŽ - LETALIŠČE,2000/01,151
_1896,PORTOROŽ - LETALIŠČE,2000/02,142.7
_1896,PORTOROŽ - LETALIŠČE,2000/03,178.9
_1896,PORTOROŽ - LETALIŠČE,2000/04,185.3
_1896,PORTOROŽ - LETALIŠČE,2000/05,279.3
_1896,PORTOROŽ - LETALIŠČE,2000/06,360.2
_1896,PORTOROŽ - LETALIŠČE,2000/07,314.3
_1896,PORTOROŽ - LETALIŠČE,2000/08,337.8
_1896,PORTOROŽ - LETALIŠČE,2000/09,245.7
_1896,PORTOROŽ - LETALIŠČE,2000/10,115.3
_1896,PORTOROŽ - LETALIŠČE,2000/11,71.1
_1896,PORTOROŽ - LETALIŠČE,2000/12,79.1
_1896,PORTOROŽ - LETALIŠČE,2001/01,53.9
_1896,PORTOROŽ - LETALIŠČE,2001/02,144.1
_1896,PORTOROŽ - LETALIŠČE,2001/03,123
_1896,PORTOROŽ - LETALIŠČE,2001/04,234.2
_1896,PORTOROŽ - LETALIŠČE,2001/05,293.4
_1896,PORTOROŽ - LETALIŠČE,2001/06,298
_1896,PORTOROŽ - LETALIŠČE,2001/07,329.6
_1896,PORTOROŽ - LETALIŠČE,2001/08,345.9
_1896,PORTOROŽ - LETALIŠČE,2001/09,170.8
_1896,PORTOROŽ - LETALIŠČE,2001/10,177.1
_1896,PORTOROŽ - LETALIŠČE,2001/11,132
_1896,PORTOROŽ - LETALIŠČE,2001/12,145.7
_1896,PORTOROŽ - LETALIŠČE,2002/01,141.3
_1896,PORTOROŽ - LETALIŠČE,2002/02,54.2
_1896,PORTOROŽ - LETALIŠČE,2002/03,232.1
_1896,PORTOROŽ - LETALIŠČE,2002/04,212.8
_1896,PORTOROŽ - LETALIŠČE,2002/05,231.8
_1896,PORTOROŽ - LETALIŠČE,2002/06,320.9
_1896,PORTOROŽ - LETALIŠČE,2002/07,336.7
_1896,PORTOROŽ - LETALIŠČE,2002/08,281.7
_1896,PORTOROŽ - LETALIŠČE,2002/09,203.7
_1896,PORTOROŽ - LETALIŠČE,2002/10,172.3
_1896,PORTOROŽ - LETALIŠČE,2002/11,81.3
_1896,PORTOROŽ - LETALIŠČE,2002/12,62.2
