PSP,DSP,DSP_like,ASP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,sun [h],air temp,wind strength,precipitation,salinity,T,O2,pH,Soca,lipophylic_toxins,date_1,date_2,date_3,date_4,date_5,date_6,date_7,date_8,date_9,date_10,date_11,date_12
30.0,1760.0000000000002,20.0,,974.0,28.999999999999996,233.0,436.00000000000006,0.0,237.1,22.214285714285715,2.9000000000000004,24.5,37.22,23.55,234.910003662109,8.06999969482422,1835.82,neg,0,0,0,0,0,0,0,1,0,0,0,0
0.0,580.0,0.0,,490.00000000000006,23.0,23.0,34.0,0.0,252.6,23.91904761904762,3.076190476190477,0.2,35.9700012207031,,155.119995117188,,1248.1900000000003,neg,0,0,0,0,0,0,0,1,0,0,0,0
280.0,600.0,0.0,,174.0,145.0,247.00000000000003,28.999999999999996,0.0,252.6,23.91904761904762,3.076190476190477,0.2,37.22,23.55,234.910003662109,8.06999969482422,1248.1900000000003,neg,0,0,0,0,0,0,0,1,0,0,0,0
10.0,280.0,0.0,,211.0,11.0,46.0,11.0,0.0,203.29999999999998,20.404761904761905,3.2428571428571424,19.099999999999998,36.6699981689453,,154.179992675781,,995.5900000000001,neg,0,0,0,0,0,0,0,0,1,0,0,0
20.0,270.0,20.0,,174.0,7.000000000000001,51.0,36.0,0.0,203.29999999999998,20.404761904761905,3.2428571428571424,19.099999999999998,,,,,995.5900000000001,neg,0,0,0,0,0,0,0,0,1,0,0,0
0.0,819.9999999999999,0.0,,473.00000000000006,256.0,74.0,6.0,0.0,172.20000000000002,18.290476190476195,3.076190476190477,74.2,37.810001373291,,149.179992675781,,1431.8200000000002,neg,0,0,0,0,0,0,0,0,1,0,0,0
0.0,480.0,0.0,,167.0,233.0,51.0,15.0,0.0,172.20000000000002,18.290476190476195,3.076190476190477,74.2,37.23,22.94,206.779998779297,8.0600004196167,1431.8200000000002,neg,0,0,0,0,0,0,0,0,1,0,0,0
20.0,340.0,20.0,,36.0,80.0,174.0,28.999999999999996,0.0,107.69999999999999,16.814285714285717,2.861904761904762,166.0,37.23,22.94,206.779998779297,8.0600004196167,2708.48,neg,0,0,0,0,0,0,0,0,0,1,0,0
10.0,440.00000000000006,0.0,,97.0,234.0,80.0,6.0,0.0,107.69999999999999,16.814285714285717,2.861904761904762,166.0,37.25,22.95,183.110000610352,8.0600004196167,2708.48,neg,0,0,0,0,0,0,0,0,0,1,0,0
0.0,40.0,0.0,,0.0,28.999999999999996,15.0,0.0,0.0,95.5,15.866666666666669,2.8476190476190477,162.1,37.35,19.87,196.059997558594,8.11999988555908,4444.230000000001,neg,0,0,0,0,0,0,0,0,0,1,0,0
620.0,300.0,20.0,,23.0,227.99999999999997,23.0,0.0,0.0,95.5,15.866666666666669,2.8476190476190477,162.1,37.0,,150.740005493164,,4444.230000000001,neg,0,0,0,0,0,0,0,0,0,1,0,0
229.99999999999997,360.0,0.0,,23.0,125.0,182.0,11.0,0.0,84.50000000000001,13.847619047619048,3.161904761904762,108.99999999999999,37.63,20.15,191.139999389648,8.14000034332275,8565.05,neg,0,0,0,0,0,0,0,0,0,0,1,0
0.0,290.0,0.0,,28.999999999999996,28.999999999999996,204.0,0.0,0.0,84.50000000000001,13.847619047619048,3.161904761904762,108.99999999999999,37.35,19.87,196.059997558594,8.11999988555908,8565.05,neg,0,0,0,0,0,0,0,0,0,0,1,0
0.0,409.99999999999994,30.0,,113.99999999999999,80.0,125.0,0.0,0.0,42.60000000000001,12.704761904761906,3.352380952380952,257.5,32.1500015258789,,163.880004882813,,16039.869999999999,neg,0,0,0,0,0,0,0,0,0,0,1,0
0.0,760.0,30.0,,28.999999999999996,393.0,262.0,0.0,0.0,42.60000000000001,12.704761904761906,3.352380952380952,257.5,37.19,17.5,219.279998779297,8.10000038146973,16039.869999999999,neg,0,0,0,0,0,0,0,0,0,0,1,0
1450.0,950.0,0.0,,7.000000000000001,465.00000000000006,393.0,0.0,0.0,41.199999999999996,10.752380952380951,2.042857142857143,29.800000000000004,37.19,17.5,219.279998779297,8.10000038146973,12662.2,neg,0,0,0,0,0,0,0,0,0,0,0,1
100.0,2870.0,0.0,,63.0,2341.0,365.0,0.0,0.0,41.199999999999996,10.752380952380951,2.042857142857143,29.800000000000004,37.03,17.28,217.490005493164,8.14999961853027,12662.2,neg,0,0,0,0,0,0,0,0,0,0,0,1
0.0,60.0,70.0,,0.0,0.0,51.0,0.0,0.0,187.3,14.666666666666666,2.8476190476190473,27.6,36.61,12.81,322.450012207031,8.14999961853027,3683.2770000000005,neg,0,0,0,0,1,0,0,0,0,0,0,0
0.0,830.0000000000001,0.0,,115.99999999999999,15.0,87.0,596.0,0.0,182.2,17.695238095238096,2.614285714285714,43.4,36.39,18.52,292.079986572266,8.17000007629395,3010.7060000000006,neg,0,0,0,0,1,0,0,0,0,0,0,0
0.0,260.0,0.0,,115.99999999999999,0.0,36.0,80.0,0.0,199.70000000000002,19.209523809523812,2.9809523809523806,115.5,36.39,18.52,292.079986572266,8.17000007629395,2685.9190000000003,neg,0,0,0,0,0,1,0,0,0,0,0,0
30.0,1430.0,40.0,,553.0,131.0,102.0,523.0,0.0,189.10000000000002,19.123809523809523,3.1952380952380954,120.39999999999998,36.27,19.9,255.460006713867,8.22000026702881,3032.232000000001,neg,0,0,0,0,0,1,0,0,0,0,0,0
20.0,1040.0,10.0,,234.0,28.000000000000004,46.0,706.0,0.0,189.10000000000002,19.123809523809523,3.1952380952380954,120.39999999999998,34.7799987792969,,205.160003662109,,3032.232000000001,neg,0,0,0,0,0,1,0,0,0,0,0,0
0.0,7630.0,50.0,,545.0,4624.0,153.0,2167.0,0.0,224.00000000000003,21.376190476190477,2.7666666666666666,30.200000000000003,36.27,19.9,255.460006713867,8.22000026702881,2568.1020000000003,neg,0,0,0,0,0,0,1,0,0,0,0,0
0.0,2150.0,10.0,,473.00000000000006,860.0,51.0,746.0,0.0,224.00000000000003,21.376190476190477,2.7666666666666666,30.200000000000003,35.1699981689453,,182.330001831055,,2568.1020000000003,neg,0,0,0,0,0,0,1,0,0,0,0,0
0.0,5760.0,0.0,,916.0,15.0,174.0,4639.0,0.0,215.50000000000003,23.29047619047619,2.619047619047619,9.6,,,,,1689.7299999999993,poz,0,0,0,0,0,0,1,0,0,0,0,0
0.0,1920.0,10.0,,443.0,95.0,44.0,1309.0,0.0,233.20000000000005,23.547619047619047,3.0571428571428574,21.2,35.3,25.66,206.330001831055,8.14999961853027,1947.6280000000002,neg,0,0,0,0,0,0,1,0,0,0,0,0
40.0,1410.0,70.0,,676.0,371.0,87.0,160.0,0.0,244.00000000000006,24.533333333333335,3.3523809523809525,2.4,35.3,25.66,206.330001831055,8.14999961853027,1763.9450000000004,neg,0,0,0,0,0,0,0,1,0,0,0,0
20.0,1460.0,60.0,,741.0,382.0,56.99999999999999,234.0,0.0,244.00000000000006,24.533333333333335,3.3523809523809525,2.4,35.28,25.52,204.990005493164,8.17000007629395,1763.9450000000004,neg,0,0,0,0,0,0,0,1,0,0,0,0
130.0,960.0,0.0,,218.00000000000003,109.00000000000001,196.0,109.00000000000001,7.000000000000001,242.3,24.023809523809522,3.1142857142857148,4.699999999999999,35.54,26.25,206.330001831055,8.10999965667725,873.119,neg,0,0,0,0,0,0,0,1,0,0,0,0
0.0,730.0,0.0,,131.0,91.0,188.0,68.0,6.0,242.3,24.023809523809522,3.1142857142857148,4.699999999999999,35.439998626709,,150.740005493164,,873.119,neg,0,0,0,0,0,0,0,1,0,0,0,0
10.0,330.0,10.0,,85.0,23.0,113.99999999999999,6.0,34.0,183.8,21.152380952380952,3.1380952380952385,58.699999999999996,36.6199989318848,,152.309997558594,,766.8359999999999,neg,0,0,0,0,0,0,0,0,1,0,0,0
0.0,540.0,50.0,,65.0,28.999999999999996,80.0,28.999999999999996,28.999999999999996,183.8,21.152380952380952,3.1380952380952385,58.699999999999996,,,,,766.8359999999999,neg,0,0,0,0,0,0,0,0,1,0,0,0
1550.0,610.0,0.0,,87.0,80.0,109.00000000000001,7.000000000000001,160.0,109.3,16.49047619047619,3.1333333333333333,267.7,36.19,22.39,219.729995727539,8.15999984741211,2638.381,neg,0,0,0,0,0,0,0,0,1,0,0,0
819.9999999999999,430.0,10.0,,97.0,34.0,63.0,0.0,171.0,109.3,16.49047619047619,3.1333333333333333,267.7,35.7900009155273,,207.039993286133,,2638.381,neg,0,0,0,0,0,0,0,0,1,0,0,0
110.00000000000001,1720.0,10.0,,85.0,262.0,125.0,0.0,1139.0,99.69999999999999,17.033333333333335,2.6714285714285717,153.10000000000002,36.21,22.78,217.050003051758,8.17000007629395,4766.862,neg,0,0,0,0,0,0,0,0,0,1,0,0
220.00000000000003,919.9999999999999,0.0,,73.0,174.0,102.0,0.0,436.00000000000006,99.69999999999999,17.033333333333335,2.6714285714285717,153.10000000000002,36.19,22.39,219.729995727539,8.15999984741211,4766.862,neg,0,0,0,0,0,0,0,0,0,1,0,0
350.0,700.0,0.0,,11.0,142.0,51.0,0.0,479.0,141.7,16.92380952380953,2.9714285714285715,46.0,35.1399993896484,,160.130004882813,,4735.938000000001,neg,0,0,0,0,0,0,0,0,0,1,0,0
